layer1node1,layer1node2,layer1node3,layer2node1
-0.092505224,-0.095053904,-0.024816263,
-0.07902993,-0.03296633,0.0,
-0.07414866,0.0,-0.028419128,
0.0,0.0,-0.093348056,
-0.042355288,0.013519173,0.014082842,
0.0,-0.028528357,-0.061385985,
-0.035084777,0.059451606,-0.04135283,
0.0,-0.013303053,-0.015034339,
0.055003945,-0.07672638,0.052933037,
0.018431583,-0.016908543,0.017076273,
-0.05773341,-0.0145962,-0.019192329,
-0.08170194,0.017631834,0.05092362,
-0.1154315,0.025001995,0.036498655,
-0.022100892,0.018083934,0.0,
0.04222627,0.0,0.018278815,
0.01316597,0.018543852,0.0,
0.06891971,-0.043165777,-0.06549644,
0.0,0.015070165,0.032599136,
-0.060162384,-0.023415247,0.017397743,
0.02103901,-0.042369537,0.0,
-0.027568894,0.0,-0.035611764,
0.0,0.13200589,-0.04913999,
0.0,0.06413241,-0.13596788,
0.013580285,0.02930824,-0.115619145,
0.029410085,0.020371573,-0.13120359,
0.015994402,0.0,-0.0806739,
0.01667367,-0.07208571,-0.049132947,
0.0,-0.07149915,0.010045361,
0.07855745,0.0,-0.020513454,
0.076520324,-0.045028828,-0.028966986,
0.056073643,-0.012168608,0.048120555,
0.07092861,-0.017699694,0.0,
0.0,0.01705491,-0.05495428,
-0.079119325,0.04315967,-0.063929774,
-0.030173285,0.07722183,-0.032126024,
0.0,0.08520332,0.02871266,
-0.06341174,0.087672055,0.015659371,
-0.024087118,0.05111069,-0.041585144,
0.042157143,0.028347135,-0.045319963,
0.013403088,0.07411389,-0.040409546,
0.063680135,0.066775635,0.0668316,
0.05566654,0.01996744,0.062594935,
0.070452884,0.013197105,0.014418924,
0.017867498,0.04990111,-0.012683162,
0.038899373,0.0890348,0.05969966,
-0.03860013,0.059855357,0.010356024,
-0.049793653,0.05349719,0.0,
-0.01157266,0.021090169,0.0,
0.078442514,0.0,0.035933074,
0.0,-0.022651214,0.01566834,
0.058759738,0.0,0.025171986,
0.0,0.037948314,0.024066254,
-0.06485453,0.0,0.098050736,
0.0115138395,0.03385507,0.024221389,
0.018163487,-0.010444119,0.05205542,
-0.034031104,-0.080139115,0.033983167,
0.0,-0.05338444,-0.023780176,
-0.033713937,-0.04441725,-0.023896703,
0.0,0.023389425,-0.016049227,
0.017776012,-0.04737137,-0.018895471,
-0.05062798,-0.022362676,-0.01654669,
-0.010434256,-0.040217087,-0.056350145,
0.034406785,-0.016991582,0.031619914,
0.06365647,-0.028395314,0.017697,
-0.020521846,0.0,0.0,
0.0,-0.028183412,0.051901255,
-0.025291782,-0.013243554,-0.027446521,
-0.0980389,0.0,-0.016006878,
-0.063521236,0.016555274,0.025077593,
-0.025558718,-0.024119942,0.07226631,
0.0,0.05863097,0.011756789,
0.04654268,0.047668044,0.0,
0.105904,-0.015339036,0.0,
-0.025397,-0.015301385,0.04070014,
-0.029903857,0.0,0.031180458,
0.0,-0.025254464,-0.039069008,
0.045393914,0.071441926,0.0,
0.0,0.042647135,-0.030320548,
0.0,0.0580788,-0.06431184,
0.028867066,0.032909703,-0.039783463,
0.013873463,-0.017589012,-0.10289277,
0.07394794,-0.010208533,0.0,
0.0,-0.051604267,0.0,
0.024716897,-0.11352718,0.0,
-0.049182512,-0.07858016,0.025589975,
0.057189453,0.0,-0.031772457,
0.0,0.0,0.034528106,
0.010810826,0.0,-0.025418436,
0.0,0.018494997,-0.016231619,
-0.024920808,0.07067124,-0.038962796,
-0.058279727,0.09522858,-0.036214855,
0.01448981,0.050138846,0.03773724,
-0.02993096,0.07550034,-0.043636497,
-0.022279214,0.04692573,-0.06961967,
0.03536933,0.08703201,-0.04574211,
0.054872595,0.043429617,-0.03375635,
0.1171067,0.033950157,0.053408273,
0.06204677,0.010158183,0.0,
0.026719254,0.045117,-0.08161311,
0.020157794,0.015332008,0.0,
0.03879656,0.02362546,-0.019736577,
-0.029077644,0.011530001,0.032569304,
0.012388022,0.041063216,0.0,
0.029958786,0.0293363,0.016175311,
0.058649253,0.022170559,0.018882468,
0.08884066,0.01413254,-0.015368431,
0.0,0.0,-0.0497382,
0.03814094,0.056912903,0.04287095,
0.054019425,-0.014201382,0.030455923,
-0.053584274,-0.016544936,-0.027211158,
-0.027142245,-0.02109677,-0.020524148,
0.027943822,-0.027842738,0.024302956,
0.0,-0.015252249,0.0,
-0.010728453,-0.050444547,-0.01626016,
0.0,0.0,-0.010641362,
0.03429688,0.026476279,-0.027806772,
0.029981807,-0.014592712,-0.019913679,
0.039625153,0.0,0.0,
0.027022744,-0.029107736,0.0,
0.0,0.0,0.0,
0.06467658,0.04401965,0.0,
0.0,-0.060527015,-0.050995357,
0.0,0.0,-0.0239262,
-0.03413634,0.0,-0.020384917,
-0.035536148,0.034866348,0.04860508,
0.0,0.03448927,-0.029801691,
0.019697519,0.04336929,-0.027626935,
0.041481763,0.012425706,0.0,
0.115156524,0.024107685,-0.02367956,
0.0,-0.025713587,0.0,
-0.01352263,0.013762989,0.033295985,
0.0197654,0.012487532,-0.045042746,
0.040425494,0.03052809,0.0,
0.03413955,0.014496337,-0.050768074,
0.08514208,0.0,-0.059295755,
-0.012879464,0.03350536,-0.07140133,
0.012348859,-0.025484595,-0.041961614,
0.04016629,0.048936322,-0.045702152,
-0.018004455,-0.06337655,-0.035543784,
0.0,-0.041654766,-0.014406736,
0.0,-0.04494015,0.0,
-0.033142753,-0.0187392,0.0102165295,
0.022483993,0.0,0.020258918,
0.0,-0.022335008,0.02784703,
0.0504864,0.015932878,0.0,
0.0,0.015013377,-0.04841142,
-0.03400652,0.036405515,-0.021260224,
0.0,0.046182193,-0.02046338,
0.0,0.04724106,0.0,
0.0,0.013982301,-0.019091336,
0.041724324,0.02639684,-0.049764313,
