layer1node1,layer1node2,layer2node1
-0.020013768,-0.051724896,
0.03403393,-0.025568018,
0.040004868,0.034964144,
-0.020340778,-0.06697119,
0.008161381,0.072901756,
-0.03417362,0.0015356714,
0.03037269,0.10871591,
0.036090795,0.07549714,
0.03339513,0.03716712,
-0.05310497,-0.018699111,
-0.09671963,-0.065177955,
0.0055295136,0.04888251,
-0.04416859,0.0014539688,
-0.024289057,-0.08821704,
0.047756173,0.075067736,
0.08240548,-0.051093493,
0.13355519,-0.021253455,
0.00933711,-0.04087213,
-0.011188101,-0.03006088,
-0.01371663,-0.047847085,
-0.08744818,0.045590185,
0.0498544,-0.075175084,
0.025461629,-0.03104441,
-0.001775992,0.0035114496,
0.018658124,0.0071588145,
0.040880814,-0.050278362,
0.09420734,0.029950978,
0.085469894,-0.04631307,
0.04564951,-0.03201259,
-0.027148712,0.026195819,
0.037828136,-0.07163983,
0.049565963,-0.020137146,
0.022338718,-0.021198876,
-0.086102314,0.038013477,
0.02222669,-0.0018344261,
0.013589843,0.012338712,
0.03400916,-0.050741993,
-0.011212942,0.003004609,
-0.006584495,-0.018788407,
0.03694014,0.05077131,
-0.10097013,0.0075211762,
0.050425034,0.08264166,
0.01717982,-0.03174903,
-0.025204625,0.0017765576,
-0.021296673,-0.008984765,
0.05261363,0.021955622,
0.09382451,0.009716074,
0.0152133275,-0.14313388,
-0.027274497,-0.032680094,
-0.010330671,0.04004387,
-0.0047240932,-0.090513185,
-0.008150656,0.021110158,
-0.04274603,0.018402046,
-0.06368761,-0.039391376,
0.020927634,-0.032058433,
0.011129783,0.036156595,
0.10566769,0.061879646,
0.009309741,0.024921449,
0.0501775,0.032669257,
0.072177745,-0.062392823,
0.057681978,-0.029669803,
0.014755766,-0.06322807,
-0.09387221,0.010707409,
0.033999283,0.029605169,
-0.005138019,0.070104755,
-0.01377468,-0.07493516,
0.09128046,0.038970485,
0.02085299,-0.0060775797,
-0.034339722,-0.05235283,
-0.0963313,0.032659926,
0.03690246,-0.045594446,
-0.07711513,0.0035596702,
-0.027525822,-0.00072839623,
-0.011099931,0.069701694,
0.06831089,0.01300724,
0.038961906,0.03080695,
0.043062642,-0.020860026,
0.008549974,-0.047712617,
-0.049309507,-0.014569696,
0.0028506217,0.03263578,
-0.04210346,-0.03194766,
-0.07719645,0.05046499,
-0.032772478,0.011728805,
0.060339987,0.0066290493,
-0.063057095,0.033879567,
0.008407227,-0.04524692,
-0.011287893,0.011324291,
-0.029922428,0.034401722,
0.059612527,-0.05750162,
-0.046742726,0.03890907,
-0.0763632,0.053178363,
0.052573815,-0.083578594,
0.13049251,0.02727785,
0.015400206,0.04034268,
-0.035188198,-0.04062533,
0.026721308,0.040855493,
-0.0039387783,0.024157645,
-0.018730959,-0.010553626,
-0.042808317,0.013317741,
0.005384944,0.0049878787,
0.0576828,0.00042983866,
0.014383168,0.041475095,
-0.05934702,-0.044612505,
-0.055054665,-0.0061307023,
-0.0149391135,-0.035394803,
0.03632274,0.1579529,
0.089679375,-0.046084493,
-0.022264067,0.05775188,
0.04921816,-0.031641368,
0.025641704,-0.013396916,
-0.07885855,-0.014639016,
-0.0456916,-0.022746976,
-0.021620397,0.03190675,
-0.03774805,-0.06763025,
0.059694417,-0.047454562,
0.044669975,-0.058629163,
-0.07573953,-0.13471131,
-0.0590608,0.057849232,
-0.055871084,-0.035104394,
-0.018131582,0.051711943,
-0.028535897,-0.10018682,
0.030735325,-0.049638998,
0.032318596,-0.034604065,
0.04386741,-0.009587908,
0.007306707,-0.011219439,
0.0374378,0.008454978,
0.01911203,-0.033997674,
-0.041249406,0.04972354,
-0.10416494,0.045248117,
0.0026335556,0.008702844,
-0.07777258,-0.00076128833,
0.019928657,-0.011807621,
0.09980946,-0.016206052,
0.008777493,-0.0523705,
-0.08336441,0.0062603145,
0.024588812,-0.010966944,
0.08895773,-0.004347674,
-0.0140686035,-0.018119272,
-0.011969644,0.0094585745,
-0.011855832,0.02901884,
-0.0134031195,0.06391078,
0.021431925,0.014904674,
0.03898076,0.05648115,
-0.03247461,0.034054283,
-0.019891549,0.03674097,
-0.0057303146,-0.046233904,
-0.034216486,0.0986596,
