layer1node1,layer1node2,layer1node3,layer1node4,layer1node5,layer2node1
-0.047669582,0.03946914,-0.010086759,0.0,0.021909652,
0.03012466,0.102508016,-0.020706087,0.0155332,-0.049854517,
-0.013650373,0.0358561,0.018404912,-0.045948245,-0.026356038,
0.0,0.0,0.0,-0.13819891,0.0,
0.0,-0.02281332,0.0,-0.036222655,-0.01558064,
0.024374023,0.016767876,-0.01560324,0.06705999,0.013356402,
0.013614383,-0.017123159,0.07403273,-0.036356356,0.0,
0.022412889,-0.09192199,0.03949774,-0.050812628,-0.014841131,
0.01913551,0.0,0.0,-0.044203546,-0.05592065,
0.11103896,0.050525177,0.099270225,0.024775095,-0.021286502,
-0.08826543,-0.04491748,0.039686583,0.015868427,-0.03772763,
0.0,0.0,-0.065336935,0.11490724,-0.028607508,
0.048703674,-0.030344535,-0.03073997,0.01439753,-0.022766706,
-0.027717836,-0.038589068,0.015922323,0.0,-0.038185734,
-0.054508917,-0.020681664,-0.09599166,0.052384384,-0.044572078,
-0.033885155,-0.010933172,-0.044661883,-0.030574206,-0.042245425,
-0.06259956,-0.09869844,-0.06136539,0.0,0.0,
0.07074627,0.06936526,0.0,-0.09013689,0.11787751,
-0.0144226365,0.015721794,0.0,-0.061180923,0.044660185,
0.0,-0.021576734,0.041923948,-0.04594807,0.03737632,
0.04137335,0.0,0.034892004,-0.023624552,0.05524424,
0.03142904,0.059895776,0.0,0.02612629,0.0,
0.038120087,-0.067721136,0.025802225,0.0,-0.032551195,
-0.04937055,-0.056762576,-0.04630372,-0.021716377,0.0,
-0.03108029,-0.019085886,-0.030718345,0.05295262,0.051397324,
-0.07247203,0.05367236,-0.10666759,-0.016557522,0.031610604,
0.036099818,-0.035382792,-0.05252738,0.04665206,0.0,
0.0,-0.042490784,0.011746045,-0.016368374,0.03353754,
-0.04691693,-0.055350017,-0.04332841,-0.051438555,-0.024908362,
0.048498917,0.09996907,0.04464326,0.07895851,-0.04330985,
0.0,-0.033378754,-0.054933526,0.02160701,-0.08569252,
0.0417967,-0.011920511,0.031433947,0.011591318,0.026876165,
0.010221972,0.015093319,-0.08602078,-0.08161259,-0.11797036,
0.0582134,0.027920304,-0.038060162,0.027262557,-0.028821802,
-0.021173513,0.05058427,-0.015077224,-0.041076574,-0.023652662,
-0.0278508,0.026899336,-0.041414842,-0.03157101,-0.05219802,
0.0,-0.04610413,-0.080997154,-0.036041427,-0.04051175,
-0.028474381,-0.08195059,-0.026067795,0.031998083,0.01569511,
-0.044385906,0.0,0.06070733,-0.023932425,0.010269886,
0.0,0.0,0.0,-0.013850709,-0.08222338,
-0.033148896,0.030815104,0.09538575,0.021407984,0.0,
-0.061214488,0.030997124,-0.13202149,-0.045115523,0.03239062,
-0.0176631,0.047688954,-0.07813816,-0.02682548,0.073316984,
0.063578516,0.014472665,0.065323785,-0.015455066,0.02779105,
0.0,-0.068249926,0.02165061,0.0,-0.038784314,
-0.05986369,0.029313145,-0.017182069,-0.043546956,0.0133391125,
0.012107944,-0.07100779,-0.02480637,0.0,0.050884675,
-0.03577131,0.0,0.037482716,-0.018294701,-0.014132892,
0.049286295,0.058676403,-0.09084245,0.0,-0.03928086,
0.043241408,-0.10050761,0.09381343,-0.092498936,0.10923704,
0.011957206,0.07573874,0.010466762,0.0,-0.08769134,
0.036811154,-0.016412409,0.0,-0.09926225,-0.045372237,
-0.013625585,0.039482735,0.0,-0.023250502,-0.017614396,
-0.040907383,0.0,0.016875148,0.04195646,-0.05964143,
-0.037672743,-0.077808455,-0.013357496,0.058224253,0.014868747,
-0.0467866,-0.072174564,-0.010066832,-0.0125320805,-0.018835781,
-0.0100125065,0.109793596,0.0,-0.078382954,0.0,
0.032881185,0.067025095,0.0,0.026517296,0.04892897,
0.0,0.06762885,-0.021802649,-0.06928269,0.07078977,
0.0,-0.027695606,0.015796576,-0.07622394,0.04250476,
-0.104824126,0.07795072,0.0,-0.09784129,0.09253235,
-0.025269503,0.027134817,0.030745218,0.028310616,0.031870082,
-0.04473526,0.03874089,-0.028896892,0.051026702,0.017211193,
0.011520756,-0.053376835,0.010153811,0.0,0.023700897,
-0.012370297,0.014829174,0.05339488,-0.057551645,0.07702834,
0.14447083,0.020845443,-0.0754737,0.03452479,0.042794745,
0.04035557,-0.113174,0.0,0.0,-0.06370312,
0.03576323,0.0,0.0,0.0,0.058747593,
-0.07913611,0.050696857,0.06289004,0.07589702,0.0,
0.0,-0.037082694,-0.035860773,0.025142241,-0.056727983,
-0.040786173,0.16272473,-0.014942216,0.047256052,-0.08623182,
-0.05007367,0.071902186,-0.07806896,0.0,-0.016297914,
